ab_depth_reached,ab_instability,ab_pruning_rate,ab_ranking_correlation,ab_reach_depth,ab_root_eval_std,best_move_margin,branch_mean_spread,branch_top2_gap,branch_value_skew,branching_mean_d2,branching_mean_d4,budget_coverage,depth,depth_chance_inter,depth_deficit,depth_deficit_rel,exact_second_best_value,heur_incoherence,leaf_density,leaf_depth_std,leaf_value_range,leaf_value_std_d3,leaf_value_std_d5,mcts_best_value_estimate,mcts_unanimous,mcts_visit_entropy,mcts_vote_margin,node_budget,node_count_d4,total_internal_nodes,total_min_nodes,total_nodes,which_algo,which_algo_enc,which_better,which_better_enc,is_tie,ab_correct,mcts_correct,mcts_correct_rate,is_contested,margin_category,margin_category_enc,tree_difficulty,tree_difficulty_enc,delta,ab_regret,mcts_regret
2,1.0,0.0911949685534591,0.8909090909090909,2.5971297551331687,0.9363871187073386,1.8380878448187588e-06,0.4892548710562036,0.0143098147794982,-0.4174372827691148,12.393258426966293,0.0,0.5230642504118617,3,0.0,0.4028702448668313,0.1342900816222771,0.9995236090572832,0.3585414976233048,0.9192751235584844,0.1297861043502506,1.999946013999078,0.6902394890943332,0.0,0.9948158313184196,1,1.9697362465420891,0.0046754352813426,635,0,98,8,1214,Neither,3,Tie,2,1,0,0,0.0,1,low,0,hard,2,0.0,0.004709615826708,0.004709615826708
6,0.4,0.1749253731343283,0.9999999999999998,5.3545419062751725,0.074327302764823,0.1625035964619953,0.0699670552210529,0.1399341104421058,0.0,3.571428571428572,3.595238095238096,0.1071771560279147,8,0.4543691175915064,2.6454580937248275,0.3306822617156034,-0.3848672308934218,0.2286037129242181,0.7239900121646712,0.2843649500865625,1.951294574016944,0.095810397825033,0.356106338899603,-0.1016975712499335,1,0.6083002794974635,0.4029182735418979,1674,87,4311,3149,15619,Both,1,Tie,2,1,1,1,1.0,0,medium,1,easy,0,0.0,0.0,0.0
1,0.0,0.0,0.8021978021978022,1.6832644671820012,0.4992546888205993,0.4471204673349124,0.3710782530875619,0.1729293554959956,-0.2208033066974528,0.0,0.0,0.3504672897196261,2,0.0,0.3167355328179988,0.1583677664089994,0.1954211913174685,0.7967246082527206,0.9299065420560748,0.0,1.9873115550651883,0.0,0.0,0.8641330733295921,1,2.5619112669108888,0.0052631578947368,75,0,15,14,214,Both,1,Tie,2,1,1,1,1.0,0,high,2,easy,0,0.0,0.0,0.0
5,1.0,0.1830177854274239,0.3999999999999999,4.636891612753044,0.0975700707817898,0.0019015629845627,0.086743891937628,0.061430223191706,-0.3683275850592872,5.0,4.895674300254453,0.1576898705530913,6,0.0,1.3631083872469558,0.2271847312078259,-0.9156654265384,0.2726840448305259,0.7937901692767267,0.1934541142164476,1.9999555579161217,0.6939931903009675,0.6510245750698858,-0.5313565470830339,1,1.2950037190603672,0.1060737205462322,1742,417,2278,1865,11047,Neither,3,MCTS,1,0,0,0,0.0,1,low,0,hard,2,-0.0753236313397056,0.0772251943242684,0.0019015629845627
3,1.0,0.1049504950495049,0.3,3.147932665462449,0.6008422438657047,0.3035933732449324,0.3148858013628921,0.0057267210057427,-0.8348225747105523,9.378048780487806,0.0,0.1315686530186465,4,2.485608644730009,0.8520673345375509,0.2130168336343877,0.317650166772878,0.3432090971174773,0.8952927369930891,0.1139820553787683,1.999975867903372,0.690390154898171,0.0,0.5814129693485655,0,1.8919215316456504,0.1267319184261103,1009,6800,803,271,7669,Both,1,AB,0,0,1,1,0.8,0,medium,1,easy,0,0.0652582672283694,0.0,0.0652582672283694
1,0.0,0.0,0.5734265734265734,1.2055713536802566,0.4330127894053938,0.0038125773002998,0.393874147128609,0.0721307085093717,0.1354336724094156,0.0,0.0,0.1492537313432835,2,0.4709186693003842,0.7944286463197434,0.3972143231598717,0.4273310744650533,0.4895827658145341,0.9104477611940298,0.0901639344262295,1.7442889734397011,0.0,0.0,-0.1928218730221592,1,2.3978952727983707,0.0,20,0,12,7,134,Neither,3,AB,0,0,0,0,0.0,1,low,0,hard,2,1.0420380215169238,0.1762060394050718,1.2182440609219958
1,0.0,0.0,0.7857142857142856,2.044672685730536,0.6917233533860242,0.0512752848142209,0.555463945295012,0.0577256432702009,-1.2245436307256383,5.885714285714286,0.0,0.1553784860557769,3,0.1303733437923933,0.9553273142694644,0.3184424380898214,0.9292167040511864,0.4589085604456349,0.8326693227091634,0.1683503548876476,1.9608083684845887,0.6013148461962075,0.0,0.7028876164038367,0,1.862036055349784,0.0285714285714285,39,0,42,5,251,AB,0,AB,0,0,1,0,0.2,1,low,0,medium,1,0.2218668260300468,0.0,0.2218668260300468
3,0.0,0.1089108910891089,0.9999999999999998,2.8613531161467867,0.4751477209203746,0.2139949063092383,0.3065351203933486,0.350416628014108,0.4473120897522681,4.882352941176471,4.720588235294118,0.0481927710843373,5,0.0,2.1386468838532133,0.4277293767706426,0.7641274056106553,0.3076732404743968,0.7874698795180722,0.1853941164064973,1.999444410263873,0.2969788441437175,0.6835533247293354,0.8905454508046333,1,1.204988465338166,0.250197628458498,100,363,441,83,2075,Both,1,Tie,2,1,1,1,1.0,0,medium,1,easy,0,0.0,0.0,0.0
3,0.5,0.1187845303867403,0.6,2.834608579331917,0.2692315378713852,0.2715008299438181,0.3509136380701406,0.0320615679597939,0.2743795455650237,7.448275862068965,0.0,0.1038032599370889,4,0.6701218360634345,1.165391420668083,0.2913478551670208,-0.1181436969708856,0.2850674078094283,0.8676008006863025,0.1623098110726639,1.998137807462542,0.5937861628585925,0.0,-0.006811658596977,0,1.9576765333309396,0.0667752586275625,363,2988,463,327,3497,MCTS,2,MCTS,1,0,0,1,0.8,0,medium,1,medium,1,-0.2172006639550545,0.2715008299438181,0.0543001659887636
1,0.0,0.0,0.5,1.5628749286285073,0.4751830162573125,0.3183276170631883,0.4037412601397811,0.5424366116518683,-0.2105748426804016,9.140350877192985,0.0,0.0527210884353741,3,0.0400476042662949,1.4371250713714927,0.4790416904571642,0.5497260888777552,0.4857874567815903,0.8894557823129252,0.0976080230829844,1.9940616968851532,0.6707404323821072,0.0,0.7279746829128604,0,1.99266569225342,0.053030303030303,31,0,65,7,588,Both,1,AB,0,0,1,1,0.6,0,medium,1,easy,0,0.3482564704657482,0.0,0.3482564704657482
